
********************************************************************
*** Atmospheric CO2-curve values (ppmv) derived from flask air   ***
*** samples collected at Baring Head, New Zealand                *** 
***                                                              ***
*** Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher       ***
***             and S. J. Walker                                 ***
***         Carbon Dioxide Research Group                        ***
***         Scripps Institution of Oceanography (SIO)            ***
***         University of California                             ***
***         La Jolla, California USA 92093-0444                  ***
***                                                              ***
*** May 2008                                                     ***
********************************************************************

	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Ann. Ave.
1977								332.99	333.01	332.79	332.85	332.96	
1978	332.90	333.09	333.33	333.41	333.71	334.21	334.56	334.85	334.80	334.52	334.52	334.57	334.04
1979	334.46	334.62	334.83	334.88	335.16	335.61	335.92	336.16	336.07	335.74	335.71	335.76	335.41
1980	335.67	335.87	336.13	336.25	336.60	337.13	337.50	337.79	337.74	337.44	337.44	337.48	336.92
1981	337.35	337.51	337.72	337.77	338.05	338.50	338.80	339.02	338.91	338.56	338.51	338.52	338.27
1982	338.37	338.52	338.73	338.78	339.07	339.56	339.89	340.17	340.12	339.84	339.85	339.92	339.40
1983	339.83	340.02	340.26	340.35	340.66	341.15	341.49	341.76	341.69	341.38	341.35	341.38	340.94
1984	341.24	341.38	341.58	341.63	341.91	342.38	342.70	342.95	342.87	342.56	342.54	342.57	342.19
1985	342.44	342.60	342.82	342.88	343.17	343.66	343.99	344.26	344.20	343.91	343.91	343.96	343.48
1986	343.87	344.05	344.29	344.37	344.68	345.16	345.50	345.78	345.74	345.47	345.50	345.59	345.00
1987	345.52	345.74	346.00	346.11	346.45	346.98	347.36	347.68	347.68	347.44	347.49	347.59	346.84
1988	347.54	347.75	348.01	348.11	348.44	348.94	349.29	349.58	349.53	349.26	349.28	349.35	348.76
1989	349.27	349.47	349.71	349.80	350.10	350.58	350.90	351.16	351.08	350.75	350.72	350.73	350.36
1990	350.58	350.71	350.91	350.96	351.26	351.75	352.09	352.37	352.33	352.03	352.03	352.07	351.59
1991	351.95	352.11	352.31	352.37	352.64	353.08	353.37	353.59	353.48	353.13	353.09	353.11	352.85
1992	352.99	353.16	353.40	353.50	353.82	354.31	354.64	354.89	354.78	354.42	354.34	354.31	354.05
1993	354.12	354.23	354.40	354.43	354.69	355.14	355.45	355.70	355.63	355.33	355.32	355.37	354.98
1994	355.27	355.46	355.71	355.81	356.13	356.63	356.99	357.27	357.22	356.92	356.89	356.92	356.44
1995	356.79	356.95	357.18	357.27	357.59	358.12	358.51	358.84	358.84	358.60	358.66	358.76	358.01
1996	358.70	358.90	359.14	359.21	359.50	359.95	360.24	360.46	360.35	360.01	359.97	359.99	359.70
1997	359.86	360.02	360.25	360.34	360.67	361.21	361.61	361.97	362.00	361.80	361.90	362.06	361.14
1998	362.06	362.34	362.65	362.82	363.21	363.78	364.19	364.53	364.54	364.29	364.32	364.39	363.59
1999	364.30	364.48	364.70	364.77	365.08	365.57	365.92	366.20	366.15	365.85	365.83	365.85	365.39
2000	365.71	365.85	366.04	366.07	366.34	366.79	367.10	367.34	367.27	366.97	366.96	367.02	366.62
2001	366.92	367.12	367.36	367.47	367.81	368.34	368.72	369.04	369.05	368.81	368.88	369.00	368.21
2002	368.98	369.24	369.55	369.72	370.12	370.72	371.16	371.53	371.58	371.38	371.47	371.60	370.59
2003	371.55	371.82	372.10	372.26	372.72	373.28	373.50	373.40	373.78	373.40	373.53	373.61	372.91
2004	373.52	373.72	373.96	374.04	374.35	374.83	375.15	375.40	375.33	375.03	375.03	375.09	374.62
2005	375.01	375.23	375.50	375.65	376.03	376.61	377.04	377.41	377.43	377.21	377.26	377.37	376.48
2006	377.30	377.52	377.78	377.88	378.21	378.72	379.08	379.37	379.34	379.07	379.10	379.18	378.55
2007	379.11	379.33	379.59	379.71	380.05	380.57	380.95	381.27	381.27	381.03	381.09	381.21	380.43

Values above are taken from a curve consisting of 4 harmonics plus a stiff spline and a linear gain factor, fit
to monthly concentration values adjusted to represent 2400 hours on the 15th day of each month. Data used to
derive this curve are shown in the accompanying graph.  Units are parts per million by volume (ppmv) expressed 
in the 2003A SIO manometric mole fraction scale. The "annual average" is the arithmetic mean of the twelve
monthly values.
